"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Rhode Island"	"44"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	20	26003	76.9
	"Rhode Island"	"44"	"< 1 year"	"0"	"Other preterm infants"	"P07.3"	10	26003	Unreliable
	"Rhode Island"	"44"	"< 1 year"	"0"	"Sudden infant death syndrome - SIDS"	"R95"	15	26003	Unreliable
	"Rhode Island"	"44"	"32 years"	"32"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	34625	Unreliable
	"Rhode Island"	"44"	"45 years"	"45"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	31783	Unreliable
	"Rhode Island"	"44"	"54 years"	"54"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	15	39401	Unreliable
	"Rhode Island"	"44"	"54 years"	"54"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	15	39401	Unreliable
	"Rhode Island"	"44"	"55 years"	"55"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	18	40112	Unreliable
	"Rhode Island"	"44"	"55 years"	"55"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	13	40112	Unreliable
	"Rhode Island"	"44"	"56 years"	"56"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	14	40206	Unreliable
	"Rhode Island"	"44"	"56 years"	"56"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	12	40206	Unreliable
	"Rhode Island"	"44"	"57 years"	"57"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	13	40281	Unreliable
	"Rhode Island"	"44"	"57 years"	"57"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	14	40281	Unreliable
	"Rhode Island"	"44"	"57 years"	"57"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	12	40281	Unreliable
	"Rhode Island"	"44"	"58 years"	"58"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	22	40209	54.7
	"Rhode Island"	"44"	"58 years"	"58"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	22	40209	54.7
	"Rhode Island"	"44"	"59 years"	"59"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	22	40039	54.9
	"Rhode Island"	"44"	"59 years"	"59"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	16	40039	Unreliable
	"Rhode Island"	"44"	"59 years"	"59"	"Atherosclerotic heart disease"	"I25.1"	11	40039	Unreliable
	"Rhode Island"	"44"	"60 years"	"60"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	12	39302	Unreliable
	"Rhode Island"	"44"	"60 years"	"60"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	29	39302	73.8
	"Rhode Island"	"44"	"60 years"	"60"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	39302	Unreliable
	"Rhode Island"	"44"	"61 years"	"61"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	30	38790	77.3
	"Rhode Island"	"44"	"61 years"	"61"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	17	38790	Unreliable
	"Rhode Island"	"44"	"61 years"	"61"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	12	38790	Unreliable
	"Rhode Island"	"44"	"61 years"	"61"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	14	38790	Unreliable
	"Rhode Island"	"44"	"62 years"	"62"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	31	37919	81.8
	"Rhode Island"	"44"	"62 years"	"62"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	14	37919	Unreliable
	"Rhode Island"	"44"	"62 years"	"62"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	37919	Unreliable
	"Rhode Island"	"44"	"62 years"	"62"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	37919	Unreliable
	"Rhode Island"	"44"	"63 years"	"63"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	14	36615	Unreliable
	"Rhode Island"	"44"	"63 years"	"63"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	36	36615	98.3
	"Rhode Island"	"44"	"63 years"	"63"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	36615	Unreliable
	"Rhode Island"	"44"	"63 years"	"63"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	12	36615	Unreliable
	"Rhode Island"	"44"	"63 years"	"63"	"Atherosclerotic heart disease"	"I25.1"	11	36615	Unreliable
	"Rhode Island"	"44"	"63 years"	"63"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	12	36615	Unreliable
	"Rhode Island"	"44"	"64 years"	"64"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	10	35009	Unreliable
	"Rhode Island"	"44"	"64 years"	"64"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	31	35009	88.5
	"Rhode Island"	"44"	"64 years"	"64"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	22	35009	62.8
	"Rhode Island"	"44"	"64 years"	"64"	"Acute myocardial infarction, unspecified"	"I21.9"	10	35009	Unreliable
	"Rhode Island"	"44"	"64 years"	"64"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	35009	Unreliable
	"Rhode Island"	"44"	"65 years"	"65"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	28	33395	83.8
	"Rhode Island"	"44"	"65 years"	"65"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	18	33395	Unreliable
	"Rhode Island"	"44"	"65 years"	"65"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	12	33395	Unreliable
	"Rhode Island"	"44"	"66 years"	"66"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	11	31721	Unreliable
	"Rhode Island"	"44"	"66 years"	"66"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	22	31721	69.4
	"Rhode Island"	"44"	"66 years"	"66"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	31721	Unreliable
	"Rhode Island"	"44"	"66 years"	"66"	"Malignant neoplasm of ovary"	"C56"	10	31721	Unreliable
	"Rhode Island"	"44"	"66 years"	"66"	"Malignant neoplasm without specification of site"	"C80"	10	31721	Unreliable
	"Rhode Island"	"44"	"66 years"	"66"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	21	31721	66.2
	"Rhode Island"	"44"	"66 years"	"66"	"COVID-19"	"U07.1"	12	31721	Unreliable
	"Rhode Island"	"44"	"67 years"	"67"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	27	30367	88.9
	"Rhode Island"	"44"	"67 years"	"67"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	19	30367	Unreliable
	"Rhode Island"	"44"	"67 years"	"67"	"Malignant neoplasm without specification of site"	"C80"	10	30367	Unreliable
	"Rhode Island"	"44"	"67 years"	"67"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	12	30367	Unreliable
	"Rhode Island"	"44"	"67 years"	"67"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	30367	Unreliable
	"Rhode Island"	"44"	"67 years"	"67"	"COVID-19"	"U07.1"	12	30367	Unreliable
	"Rhode Island"	"44"	"68 years"	"68"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	10	29347	Unreliable
	"Rhode Island"	"44"	"68 years"	"68"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	44	29347	149.9
	"Rhode Island"	"44"	"68 years"	"68"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	29347	Unreliable
	"Rhode Island"	"44"	"68 years"	"68"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	17	29347	Unreliable
	"Rhode Island"	"44"	"69 years"	"69"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	40	29225	136.9
	"Rhode Island"	"44"	"69 years"	"69"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	15	29225	Unreliable
	"Rhode Island"	"44"	"69 years"	"69"	"Malignant neoplasm without specification of site"	"C80"	11	29225	Unreliable
	"Rhode Island"	"44"	"69 years"	"69"	"Acute myocardial infarction, unspecified"	"I21.9"	10	29225	Unreliable
	"Rhode Island"	"44"	"69 years"	"69"	"Atherosclerotic heart disease"	"I25.1"	12	29225	Unreliable
	"Rhode Island"	"44"	"69 years"	"69"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	19	29225	Unreliable
	"Rhode Island"	"44"	"69 years"	"69"	"COVID-19"	"U07.1"	14	29225	Unreliable
	"Rhode Island"	"44"	"70 years"	"70"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	38	27230	139.6
	"Rhode Island"	"44"	"70 years"	"70"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	12	27230	Unreliable
	"Rhode Island"	"44"	"70 years"	"70"	"Acute myocardial infarction, unspecified"	"I21.9"	10	27230	Unreliable
