"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"District of Columbia"	"11"	"< 1 year"	"0"	"Newborn affected by premature rupture of membranes"	"P01.1"	14	23532	Unreliable
	"District of Columbia"	"11"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	11	23532	Unreliable
	"District of Columbia"	"11"	"< 1 year"	"0"	"Other ill-defined and unspecified causes of mortality"	"R99"	10	23532	Unreliable
	"District of Columbia"	"11"	"< 1 year"	"0"	"Accidental suffocation and strangulation in bed"	"W75"	12	23532	Unreliable
	"District of Columbia"	"11"	"49 years"	"49"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	18649	Unreliable
	"District of Columbia"	"11"	"51 years"	"51"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	18221	Unreliable
	"District of Columbia"	"11"	"52 years"	"52"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	18482	Unreliable
	"District of Columbia"	"11"	"53 years"	"53"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	18400	Unreliable
	"District of Columbia"	"11"	"53 years"	"53"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	18400	Unreliable
	"District of Columbia"	"11"	"55 years"	"55"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	18940	Unreliable
	"District of Columbia"	"11"	"55 years"	"55"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	13	18940	Unreliable
	"District of Columbia"	"11"	"55 years"	"55"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	18940	Unreliable
	"District of Columbia"	"11"	"56 years"	"56"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	13	18784	Unreliable
	"District of Columbia"	"11"	"56 years"	"56"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	18784	Unreliable
	"District of Columbia"	"11"	"57 years"	"57"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	11	18751	Unreliable
	"District of Columbia"	"11"	"57 years"	"57"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	18751	Unreliable
	"District of Columbia"	"11"	"58 years"	"58"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	16	18495	Unreliable
	"District of Columbia"	"11"	"58 years"	"58"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	18495	Unreliable
	"District of Columbia"	"11"	"59 years"	"59"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	12	18462	Unreliable
	"District of Columbia"	"11"	"59 years"	"59"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	13	18462	Unreliable
	"District of Columbia"	"11"	"59 years"	"59"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	18462	Unreliable
	"District of Columbia"	"11"	"60 years"	"60"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	12	18267	Unreliable
	"District of Columbia"	"11"	"60 years"	"60"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	16	18267	Unreliable
